Product Name,Price (Rs),Ram (GB)
"Realme X2 Pro (Neptune Blue, 256 GB)","35,999",12
"Realme X2 Pro (Lunar White, 256 GB)","35,999",12
"iQOO 3 (5G) (Tornado Black, 256 GB)","44,990",12
"OnePlus 7T Pro Mclaren Limited Edition (Papaya Orange, 256 GB)","58,998",12
"Motorola Edge+ (Thunder Grey, 256 GB)","74,999",12
"Samsung Galaxy Note 10 Plus (Aura Glow, 256 GB)","84,200",12
"Samsung Galaxy Note 10 Plus (Aura Black, 256 GB)","84,200",12
"Samsung Galaxy Note 10 Plus (Aura Glow, 512 GB)","94,700",12
"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)","97,999",12
"Realme 2 Pro (Blue Ocean, 128 GB)","15,490",8
"Realme 6 (Comet Blue, 128 GB)","16,999",8
"Realme 6 (Comet White, 128 GB)","16,999",8
"Realme 5 Pro (Sparkling Blue, 128 GB)","16,999",8
"Realme 5 Pro (Crystal Green, 128 GB)","16,999",8
"POCO F1 (Steel Blue, 256 GB)","17,999",8
"POCO F1 (Armoured Edition, 256 GB)","17,999",8
"OPPO A9 2020 (Marine Green, 128 GB)","18,490",8
"OPPO A9 2020 (Space Purple, 128 GB)","18,490",8
"OPPO A9 2020 (Vanilla Mint, 128 GB)","18,490",8
"Vivo Z1x (Phantom Purple, 128 GB)","18,990",8
"Redmi Note 8 Pro (Shadow Black, 128 GB)","18,999",8
"Redmi Note 8 Pro (Halo White, 128 GB)","18,999",8
"Redmi Note 8 Pro (Gamma Green, 128 GB)","19,989",8
"Vivo V15 Pro (Ruby Red, 128 GB)","19,990",8
"Realme XT (Pearl Blue, 128 GB)","19,999",8
"Realme XT (Pearl White, 128 GB)","19,999",8
"POCO F1 (Rosso Red, 256 GB)","19,999",8
"POCO F1 (Graphite Black, 256 GB)","19,999",8
"Vivo S1 Pro (Mystic Black, 128 GB)","20,990",8
"Vivo S1 Pro (Jazzy Blue, 128 GB)","20,990",8
"Realme X2 (Pearl Blue, 128 GB)","20,999",8
"Realme X2 (Pearl White, 128 GB)","20,999",8
"Realme X2 (Pearl Green, 128 GB)","20,999",8
"Realme X (Space Blue, 128 GB)","20,999",8
"Realme X (Polar White, 128 GB)","20,999",8
"Realme X (Onion, 128 GB)","20,999",8
"OPPO F15 (Unicorn White, 128 GB)","21,990",8
"OPPO R17 (Neon Purple, 128 GB)","21,999",8
"Asus ZenFone 5Z (Midnight Blue, 256 GB)","21,999",8
"OPPO Reno2 F (Sky White, 128 GB)","23,490",8
"Vivo V17 (Glacier ice white, 128 GB)","24,990",8
"Vivo V17Pro (Glacier Ice White, 128 GB)","25,800",8
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)","27,399",8
"OPPO Reno2 Z (Luminous Black, 256 GB)","27,490",8
"OPPO Reno2 Z (Sky White, 256 GB)","27,490",8
"Vivo V19 (Mystic Silver, 128 GB)","27,990",8
"Vivo V19 (Piano Black, 128 GB)","27,990",8
"Vivo V15 Pro (Topaz Blue, 128 GB)","28,499",8
"Vivo V17Pro (Midnight Ocean Black, 128 GB)","29,499",8
"Redmi K20 Pro (Flame Red, 256 GB)","29,999",8
"Redmi K20 Pro (Carbon Black, 256 GB)","29,999",8
"Redmi K20 Pro (Pearl White, 256 GB)","29,999",8
"Redmi K20 Pro (Glacier Blue, 256 GB)","29,999",8
"OnePlus 6T (Midnight Black, 128 GB)","30,990",8
"OPPO R17 Pro (Radiant Mist, 128 GB)","31,590",8
"OPPO R17 Pro (Emerald Green, 128 GB)","31,590",8
"Vivo V19 (Mystic Silver, 256 GB)","31,990",8
"OPPO Reno3 Pro (Midnight Black, 128 GB)","31,990",8
"OPPO Reno3 Pro (Auroral Blue, 128 GB)","31,990",8
"OPPO Reno3 Pro (Sky White, 128 GB)","31,990",8
"Realme X2 Pro (Neptune Blue, 128 GB)","31,999",8
"OnePlus 6T (Mirror Black, 128 GB)","31,999",8
"Lenovo Z6 Pro (Black, 128 GB)","31,999",8
"Samsung Galaxy A71 (Prism Crush Blue, 128 GB)","32,999",8
"Samsung Galaxy A71 (Prism Crush Black, 128 GB)","32,999",8
"Samsung Galaxy A71 (Prism Crush Silver, 128 GB)","32,999",8
"iQOO 3 (Tornado Black, 128 GB)","34,990",8
"iQOO 3 (Quantum Silver, 128 GB)","34,990",8
"Asus 6Z (Silver, 256 GB)","34,999",8
"Nubia Redmagic 3S (Mecha Silver, 128 GB)","35,999",8
"OnePlus 7T (Glacier Blue, 128 GB)","36,389",8
"iQOO 3 (Tornado Black, 256 GB)","37,990",8
"iQOO 3 (Volcano Orange, 256 GB)","37,990",8
"iQOO 3 (Quantum Silver, 256 GB)","37,990",8
"Asus ROG Phone II (Black, 128 GB)","37,999",8
"OnePlus OnePlus 5 (Slate Gray, 128 GB)","37,999",8
"Vivo NEX (Black, 128 GB)","39,990",8
"Meizu 16th (Midnight Black, 128 GB)","41,999",8
"Samsung Galaxy A80 (Phantom Black, 128 GB)","41,999",8
"Samsung Galaxy A80 (Angel Gold, 128 GB)","41,999",8
"Samsung Galaxy A80 (Ghost White, 128 GB)","41,999",8
"Realme X50 Pro (Moss Green, 128 GB)","41,999",8
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)","42,999",8
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)","42,999",8
"OnePlus 7 Pro (Nebula Blue, 256 GB)","46,399",8
"OnePlus 7 Pro (Mirror Grey, 256 GB)","46,880",8
"Samsung Galaxy S10 Lite (Prism Blue, 512 GB)","47,999",8
"Samsung Galaxy S10 Lite (Prism White, 512 GB)","47,999",8
"Samsung Galaxy S10 Lite (Prism Black, 512 GB)","47,999",8
"Asus Zenfone AR (Black, 128 GB)","49,999",8
"OPPO Reno 10x Zoom (Ocean Green, 256 GB)","52,690",8
"Huawei P30 Pro (Breathing Crystal, 256 GB)","56,490",8
"Samsung Galaxy S10 (Prism Blue, 128 GB)","57,800",8
"Samsung Galaxy S10 (Prism Black, 128 GB)","59,900",8
"OPPO Find X (Glacier Blue, 256 GB)","60,990",8
"OPPO Find X (Bordeaux Red, 256 GB)","60,990",8
"Samsung Galaxy S10 Plus (Prism White, 128 GB)","65,200",8
"Asus ROG (Black, 128 GB)","69,999",8
"Samsung Galaxy S20 (Cloud Blue, 128 GB)","70,499",8
"Samsung Galaxy S20 (Cloud Pink, 128 GB)","70,499",8
"Samsung Galaxy S20 (Cosmic Gray, 128 GB)","70,499",8
"Samsung Galaxy S10 Plus (Prism Blue, 128 GB)","71,550",8
"Samsung Galaxy Note 10 (Aura Red, 256 GB)","73,600",8
"Samsung Galaxy Note 10 (Aura Black, 256 GB)","73,600",8
"Samsung Galaxy S10 Plus (Ceramic Black, 512 GB)","73,800",8
"Samsung Galaxy S20+ (Cloud Blue, 128 GB)","77,999",8
"Samsung Galaxy S20+ (Cosmic Black, 128 GB)","77,999",8
"Samsung Galaxy S10 Plus (Prism Black, 128 GB)","78,000",8
"Samsung Galaxy Note 9 (Midnight Black, 512 GB)","84,900",8
"Samsung Galaxy Note 9 (Metallic Copper, 512 GB)","89,499",8
"Moto X4 (Super Black, 64 GB)","10,990",6
"Infinix Hot 7 Pro (Mocha Brown, 64 GB)","10,999",6
